Gene.Symbol	Locus.ID	Cytoband	Entrez.IDs
SKI	6497	1p36.33	6497
SLC35E2B	728661	1p36.33	728661
SLC35E2	9906	1p36.33	9906
SSU72	29101	1p36.33	29101
TAS1R3	-7	1p36.33	83756
TMEM240	-9	1p36.33	339453
TMEM52	339456	1p36.33	339456
TMEM88B	643965	1p36.33	643965
TNFRSF14	8764	1p36.32	8764
TNFRSF18	8784	1p36.33	8784
TNFRSF4	7293	1p36.33	7293
TTC34	-11	1p36.32	100287898
TTLL10	254173	1p36.33	254173
UBE2J2	118424	1p36.33	118424
VWA1	64856	1p36.33	64856
ARHGEF16	27237	1p36.32	27237
MEGF6	-13	1p36.32	1953
MIR551A	-14	1p36.32	693135
TPRG1L	127262	1p36.32	127262
WRAP73	49856	1p36.32	49856
TP73	7161	1p36.32	7161
CCDC27	148870	1p36.32	148870
SMIM1	388588	1p36.32	388588
LRRC47	57470	1p36.32	57470
RN7SL574P	-15	1p36.32	106481079
CEP104	9731	1p36.32	9731
DFFB	1677	1p36.32	1677
C1orf174	339448	1p36.32	339448
AJAP1	55966	1p36.32	55966
MIR4417	100616489	1p36.31	100616489
MIR4689	100616421	1p36.31	100616421
NPHP4	261734	1p36.31	261734
KCNAB2	8514	1p36.31	8514
CHD5	26038	1p36.31	26038
RPL22	6146	1p36.31	6146
RNF207	388591	1p36.31	388591
ICMT	23463	1p36.31	23463
LINC00337	-16	1p36.31	148645
GPR153	387509	1p36.31	387509
HES3	390992	1p36.31	390992
ACOT7	11332	1p36.31	11332
HES2	54626	1p36.31	54626
ESPN	83715	1p36.31	83715
MIR4252	100422975	1p36.31	100422975
PLEKHG5	57449	1p36.31	57449
TNFRSF25	8718	1p36.31	8718
NOL9	79707	1p36.31	79707
TAS1R1	80835	1p36.31	80835
ZBTB48	3104	1p36.31	3104
KLHL21	9903	1p36.31	9903
PHF13	148479	1p36.31	148479
THAP3	90326	1p36.31	90326
DNAJC11	55735	1p36.31	55735
snoU13|ENSG00000239166.1	-17	1p36.31	snoU13|ENSG00000239166.1
CAMTA1	23261	1p36.31	23261
VAMP3	9341	1p36.23	9341
PER3	8863	1p36.23	8863
UTS2	10911	1p36.23	10911
TNFRSF9	-18	1p36.23	3604
PARK7	11315	1p36.23	11315
ERRFI1	54206	1p36.23	54206
RN7SL729P	-19	1p36.23	RN7SL729P
SLC45A1	50651	1p36.23	50651
RERE	473	1p36.23	473
SNORA77|ENSG00000221083.1	-20	1p36.23	SNORA77|ENSG00000221083.1
ENO1	2023	1p36.23	2023
CA6	765	1p36.23	765
RN7SL451P	-21	1p36.23	106480377
SLC2A7	155184	1p36.23	155184
SLC2A5	6518	1p36.23	6518
SCARNA16|ENSG00000252404.1	-22	1p36.23	SCARNA16|ENSG00000252404.1
GPR157	-23	1p36.23	80045
MIR34A	407040	1p36.22	407040
H6PD	9563	1p36.22	9563
SPSB1	80176	1p36.22	80176
RNA5SP40	-24	1p36.22	100873279
SLC25A33	-25	1p36.22	84275
TMEM201	199953	1p36.22	199953
C1orf200	644997	1p36.22	C1orf200
PIK3CD	5293	1p36.22	5293
CLSTN1	22883	1p36.22	22883
CTNNBIP1	56998	1p36.22	56998
LZIC	84328	1p36.22	84328
NMNAT1	64802	1p36.22	64802
RN7SKP269	-26	1p36.22	106480915
MIR5697	100847055	1p36.22	100847055
RBP7	116362	1p36.22	116362
UBE4B	10277	1p36.22	10277
KIF1B	23095	1p36.22	23095
MIR1273D	100422970	1p36.22	100422970
RN7SL731P	-27	1p36.22	107048981
RN7SL721P	-28	1p36.22	RN7SL721P
PGD	5226	1p36.22	5226
APITD1	100526739	1p36.22	378708
CORT	1325	1p36.22	1325
DFFA	-29	1p36.22	1676
PEX14	5195	1p36.22	5195
RN7SL614P	-30	1p36.22	106481089
CASZ1	54897	1p36.22	54897
C1orf127	148345	1p36.22	148345
TARDBP	-31	1p36.22	23435
MASP2	10747	1p36.22	10747
SRM	6723	1p36.22	6723
EXOSC10	5394	1p36.22	5394
MTOR	2475	1p36.22	2475
snoU13|ENSG00000271794.1	-32	1p36.22	snoU13|ENSG00000271794.1
ANGPTL7	10218	1p36.22	10218
UBIAD1	29914	1p36.22	29914
PTCHD2	57540	1p36.22	PTCHD2
FBXO2	26232	1p36.22	26232
FBXO44	93611	1p36.22	93611
FBXO6	26270	1p36.22	26270
MAD2L2	10459	1p36.22	10459
DRAXIN	-33	1p36.22	374946
AGTRAP	57085	1p36.22	57085
C1orf167	-34	1p36.22	284498
MTHFR	4524	1p36.22	4524
CLCN6	1185	1p36.22	1185
NPPA	4878	1p36.22	4878
NPPB	4879	1p36.22	4879
KIAA2013	90231	1p36.22	90231
PLOD1	5351	1p36.22	5351
MFN2	9927	1p36.22	9927
MIIP	60672	1p36.22	60672
RN7SL649P	-35	1p36.22	106481100
TNFRSF8	943	1p36.22	943
TNFRSF1B	7133	1p36.22	7133
MIR4632	-36	1p36.22	100616438
SNORA70|ENSG00000252969.1	-37	1p36.22	SNORA70|ENSG00000252969.1
VPS13D	55187	1p36.22	55187
SNORA59A	-38	1p36.22	677885
DHRS3	9249	1p36.22	9249
RNU6ATAC18P	-39	1p36.22	106479551
AADACL4	343066	1p36.21	343066
AADACL3	126767	1p36.21	126767
snoU13|ENSG00000238771.1	-40	1p36.21	snoU13|ENSG00000238771.1
C1orf158	-41	1p36.21	93190
HNRNPCL1	343069	1p36.21	343069
PRAMEF10	343071	1p36.21	343071
PRAMEF11	440560	1p36.21	440560
PRAMEF12	390999	1p36.21	390999
PRAMEF13	400736	1p36.21	400736
PRAMEF14	-43	1p36.21	729528
PRAMEF15	653619	1p36.21	653619
PRAMEF16	654348	1p36.21	PRAMEF16
PRAMEF17	391004	1p36.21	391004
PRAMEF18	-42	1p36.21	391003
PRAMEF19	645414	1p36.21	645414
PRAMEF1	65121	1p36.21	65121
PRAMEF21	391001	1p36.21	PRAMEF21
PRAMEF22	653606	1p36.21	653606
PRAMEF2	65122	1p36.21	65122
PRAMEF3	401940	1p36.21	PRAMEF3
PRAMEF4	400735	1p36.21	400735
PRAMEF5	343068	1p36.21	343068
PRAMEF6	440561	1p36.21	440561
PRAMEF7	441871	1p36.21	441871
PRAMEF8	391002	1p36.21	391002
PRAMEF9	343070	1p36.21	343070
PRAMEF20	645425	1p36.21	645425
LRRC38	126755	1p36.21	126755
PDPN	10630	1p36.21	10630
RNA5SP41	-44	1p36.21	100873280
SCARNA11|ENSG00000253085.1	-45	1p36.21	SCARNA11|ENSG00000253085.1
PRDM2	7799	1p36.21	7799
KAZN	23254	1p36.21	23254
TMEM51	55092	1p36.21	55092
C1orf195	-46	1p36.21	727684
FHAD1	114827	1p36.21	114827
EFHD2	79180	1p36.21	79180
CTRC	11330	1p36.21	11330
CELA2A	63036	1p36.21	63036
CELA2B	51032	1p36.21	51032
CASP9	842	1p36.21	842
DNAJC16	23341	1p36.21	23341
SCARNA21|ENSG00000251866.1	-47	1p36.21	SCARNA21|ENSG00000251866.1
AGMAT	-48	1p36.21	79814
DDI2	-49	1p36.21	84301
RSC1A1	6248	1p36.21	6248
PLEKHM2	23207	1p36.21	23207
FBLIM1	54751	1p36.21	54751
SLC25A34	284723	1p36.21	284723
TMEM82	388595	1p36.21	388595
SPEN	23013	1p36.21	23013
snoU13|ENSG00000238818.1	-50	1p36.13	snoU13|ENSG00000238818.1
ZBTB17	7709	1p36.13	7709
C1orf64	-51	1p36.13	149563
HSPB7	27129	1p36.13	27129
CLCNKA	1187	1p36.13	1187
CLCNKB	1188	1p36.13	1188
FAM131C	348487	1p36.13	348487
EPHA2	1969	1p36.13	1969
ARHGEF19	128272	1p36.13	128272
ANO7P1	-52	1p36.13	ANO7P1
C1orf134	-53	1p36.13	574037
RSG1	79363	1p36.13	79363
FBXO42	54455	1p36.13	54455
SZRD1	26099	1p36.13	26099
SPATA21	374955	1p36.13	374955
NECAP2	55707	1p36.13	55707
CROCCP3	-54	1p36.13	114819
ATP13A2	23400	1p36.13	23400
CROCCP2	-56	1p36.13	84809
CROCC	9696	1p36.13	9696
ESPNP	-57	1p36.13	284729
MFAP2	4237	1p36.13	4237
MIR3675	100500876	1p36.13	100500876
MST1L	-58	1p36.13	11223
NBPF1	55672	1p36.13	55672
U1|ENSG00000228549.2	-59	1p36.13	U1|ENSG00000228549.2
U1|ENSG00000233421.3	-55	1p36.13	U1|ENSG00000233421.3
SDHB	6390	1p36.13	6390
PADI2	11240	1p36.13	11240
PADI1	29943	1p36.13	29943
PADI3	51702	1p36.13	51702
MIR3972	-60	1p36.13	100616188
PADI4	23569	1p36.13	23569
PADI6	-61	1p36.13	353238
RCC2	55920	1p36.13	55920
snoU13|ENSG00000239020.1	-62	1p36.13	snoU13|ENSG00000239020.1
ARHGEF10L	55160	1p36.13	55160
ACTL8	81569	1p36.13	81569
IGSF21	84966	1p36.13	84966
KLHDC7A	127707	1p36.13	127707
PAX7	5081	1p36.13	5081
TAS1R2	80834	1p36.13	80834
ALDH4A1	8659	1p36.13	8659
MIR4695	-63	1p36.13	100616120
MIR1290	-64	1p36.13	100302276
IFFO2	126917	1p36.13	126917
UBR4	23352	1p36.13	23352
EMC1	23065	1p36.13	23065
MRTO4	51154	1p36.13	51154
AKR7A3	-65	1p36.13	22977
AKR7L	246181	1p36.13	246181
AKR7A2	-66	1p36.13	8574
PQLC2	54896	1p36.13	54896
RN7SL85P	-67	1p36.13	RN7SL85P
CAPZB	832	1p36.13	832
RN7SL277P	-68	1p36.13	106479323
snoU13|ENSG00000239027.1	-69	1p36.13	snoU13|ENSG00000239027.1
MINOS1	440574	1p36.13	440574
NBL1	4681	1p36.13	4681
HTR6	3362	1p36.13	3362
TMCO4	255104	1p36.13	255104
RNF186	54546	1p36.13	54546
OTUD3	23252	1p36.13	23252
PLA2G2E	-70	1p36.13	30814
PLA2G2A	5320	1p36.13	5320
RN7SL304P	-71	1p36.13	106479333
PLA2G5	-72	1p36.13	5322
PLA2G2D	-73	1p36.12	26279
PLA2G2F	64600	1p36.12	64600
PLA2G2C	-74	1p36.12	391013
UBXN10	-75	1p36.12	127733
VWA5B1	127731	1p36.12	127731
CAMK2N1	55450	1p36.12	55450
MUL1	79594	1p36.12	79594
FAM43B	163933	1p36.12	163933
CDA	978	1p36.12	978
PINK1	65018	1p36.12	65018
DDOST	1650	1p36.12	1650
KIF17	57576	1p36.12	57576
SH2D5	400745	1p36.12	400745
HP1BP3	50809	1p36.12	50809
EIF4G3	8672	1p36.12	8672
MIR1256	-76	1p36.12	100302155
ECE1	1889	1p36.12	1889
NBPF3	84224	1p36.12	84224
ALPL	249	1p36.12	249
RAP1GAP	5909	1p36.12	5909
USP48	84196	1p36.12	84196
LDLRAD2	401944	1p36.12	401944
HSPG2	3339	1p36.12	3339
CDC42	998	1p36.12	998
CELA3A	10136	1p36.12	10136
CELA3B	23436	1p36.12	23436
LINC00339	-81	1p36.12	29092
RN7SL186P	-80	1p36.12	106480972
RN7SL386P	-78	1p36.12	106479364
RN7SL421P	-77	1p36.12	RN7SL421P
RN7SL768P	-79	1p36.12	RN7SL768P
WNT4	54361	1p36.12	54361
MIR4418	100616433	1p36.12	100616433
ZBTB40	9923	1p36.12	9923
EPHA8	2046	1p36.12	2046
C1QA	712	1p36.12	712
C1QC	714	1p36.12	714
C1QB	713	1p36.12	713
EPHB2	2048	1p36.12	2048
MIR4684	-82	1p36.12	100616391
MIR4253	100422914	1p36.12	100422914
LACTBL1	646262	1p36.12	646262
C1orf234	729059	1p36.12	729059
KDM1A	23028	1p36.12	23028
MIR3115	-83	1p36.12	100422866
MIR4419A	100616177	1p36.12	100616177
LUZP1	7798	1p36.12	7798
HTR1D	3352	1p36.12	3352
HNRNPR	10236	1p36.12	10236
ZNF436	80818	1p36.12	80818
C1orf213	148898	1p36.12	C1orf213
TCEA3	6920	1p36.12	6920
ASAP3	55616	1p36.12	55616
E2F2	1870	1p36.12	1870
ID3	3399	1p36.12	3399
MDS2	259283	1p36.11	259283
RPL11	6135	1p36.11	6135
RN7SL532P	-84	1p36.11	RN7SL532P
TCEB3	6924	1p36.11	6924
PITHD1	57095	1p36.11	57095
GALE	2582	1p36.11	2582
HMGCL	3155	1p36.11	3155
LYPLA2	11313	1p36.11	11313
FUCA1	2517	1p36.11	2517
CNR2	1269	1p36.11	1269
RN7SL24P	-85	1p36.11	RN7SL24P
snoU13|ENSG00000238538.1	-86	1p36.11	snoU13|ENSG00000238538.1
MIR378F	100616492	1p36.11	100616492
PNRC2	55629	1p36.11	55629
SRSF10	10772	1p36.11	10772
MYOM3	127294	1p36.11	127294
IL22RA1	58985	1p36.11	58985
IFNLR1	163702	1p36.11	163702
GRHL3	57822	1p36.11	57822
STPG1	90529	1p36.11	90529
NIPAL3	57185	1p36.11	57185
RCAN3	11123	1p36.11	11123
RN7SL857P	-87	1p36.11	RN7SL857P
NCMAP	400746	1p36.11	400746
SRRM1	10250	1p36.11	10250
snoU13|ENSG00000238986.1	-88	1p36.11	snoU13|ENSG00000238986.1
CLIC4	25932	1p36.11	25932
RUNX3	864	1p36.11	864
MIR4425	100616365	1p36.11	100616365
C1orf63	57035	1p36.11	C1orf63
RHCE	6006	1p36.11	6006
RHD	6007	1p36.11	6007
SYF2	-89	1p36.11	25949
TMEM50A	23585	1p36.11	23585
snoU13|ENSG00000238889.1	-90	1p36.11	snoU13|ENSG00000238889.1
TMEM57	55219	1p36.11	55219
LDLRAP1	26119	1p36.11	26119
MAN1C1	-91	1p36.11	57134
SEPN1	57190	1p36.11	57190
MTFR1L	56181	1p36.11	56181
AUNIP	79000	1p36.11	79000
PAQR7	164091	1p36.11	164091
STMN1	3925	1p36.11	3925
MIR3917	100500808	1p36.11	100500808
PAFAH2	5051	1p36.11	5051
SCARNA17|ENSG00000252190.1	-92	1p36.11	SCARNA17|ENSG00000252190.1
SCARNA18|ENSG00000252691.1	-93	1p36.11	SCARNA18|ENSG00000252691.1
EXTL1	2134	1p36.11	2134
SLC30A2	7780	1p36.11	7780
TRIM63	84676	1p36.11	84676
PDIK1L	149420	1p36.11	149420
FAM110D	79927	1p36.11	79927
ZNF593	-94	1p36.11	51042
CNKSR1	10256	1p36.11	10256
CATSPER4	378807	1p36.11	378807
CEP85	64793	1p36.11	64793
SH3BGRL3	-95	1p36.11	83442
UBXN11	91544	1p36.11	91544
AIM1L	-96	1p36.11	55057
CD52	1043	1p36.11	1043
RN7SL490P	-97	1p36.11	RN7SL490P
ZNF683	257101	1p36.11	257101
LIN28A	79727	1p36.11	79727
DHDDS	79947	1p36.11	79947
HMGN2	-98	1p36.11	3151
RPS6KA1	6195	1p36.11	6195
MIR1976	-99	1p36.11	100302190
RN7SL679P	-100	1p36.11	106481855
snoU13|ENSG00000238316.1	-101	1p36.11	snoU13|ENSG00000238316.1
ARID1A	8289	1p36.11	8289
RN7SL501P	-102	1p36.11	RN7SL501P
PIGV	55650	1p36.11	55650
RN7SL165P	-103	1p36.11	106479281
ZDHHC18	-104	1p36.11	84243
SFN	2810	1p36.11	2810
GPN2	-105	1p36.11	54707
GPATCH3	63906	1p36.11	63906
NUDC	10726	1p36.11	10726
NR0B2	8431	1p36.11	8431
C1orf172	126695	1p36.11	C1orf172
TRNP1	388610	1p36.11	388610
FAM46B	115572	1p36.11	115572
SLC9A1	6548	1p36.11	6548
WDTC1	23038	1p36.11	23038
TMEM222	84065	1p36.11	84065
SYTL1	84958	1p36.11	84958
MAP3K6	9064	1p36.11	9064
FCN3	8547	1p36.11	8547
CD164L2	388611	1p36.11	388611
GPR3	2827	1p36.11	2827
WASF2	10163	1p36.11	10163
AHDC1	27245	1p36.11	27245
FGR	2268	1p36.11	2268
IFI6	2537	1p36.11	2537
FAM76A	199870	1p35.3	199870
STX12	23673	1p35.3	23673
PPP1R8	5511	1p35.3	5511
SCARNA1	-106	1p35.3	677774
THEMIS2	9473	1p35.3	9473
RPA2	6118	1p35.3	6118
SMPDL3B	27293	1p35.3	27293
XKR8	55113	1p35.3	55113
EYA3	2140	1p35.3	2140
RN7SL559P	-107	1p35.3	106481849
PTAFR	5724	1p35.3	5724
DNAJC8	22826	1p35.3	22826
ATPIF1	93974	1p35.3	93974
SESN2	83667	1p35.3	83667
MED18	54797	1p35.3	54797
PHACTR4	65979	1p35.3	65979
RNU6ATAC27P	-108	1p35.3	106481167
RCC1	1104	1p35.3	1104
SNHG3	8420	1p35.3	8420
SNORA73B	-109	1p35.3	26768
snoU13|ENSG00000238821.1	-110	1p35.3	snoU13|ENSG00000238821.1
TRNAU1AP	54952	1p35.3	54952
SNHG12	-111	1p35.3	85028
SNORD99	-112	1p35.3	692212
TAF12	6883	1p35.3	6883
RAB42	-113	1p35.3	115273
RNU11	-114	1p35.3	26824
GMEB1	10691	1p35.3	10691
SCARNA24|ENSG00000252777.1	-115	1p35.3	SCARNA24|ENSG00000252777.1
YTHDF2	51441	1p35.3	51441
OPRD1	4985	1p35.3	4985
EPB41	2035	1p35.3	2035
TMEM200B	399474	1p35.3	399474
SRSF4	6429	1p35.3	6429
MECR	51102	1p35.3	51102
PTPRU	10076	1p35.3	10076
LAPTM5	7805	1p35.2	7805
MATN1	4146	1p35.2	4146
MIR4420	-116	1p35.2	100616164
RN7SKP91	-117	1p35.2	106480861
SDC3	-118	1p35.2	9672
PUM1	9698	1p35.2	9698
SNORD103A	-119	1p35.2	692234
SNORD103B	-120	1p35.2	692235
SNORD85	-121	1p35.2	SNORD85
NKAIN1	79570	1p35.2	79570
SNRNP40	9410	1p35.2	9410
ZCCHC17	51538	1p35.2	51538
FABP3	-122	1p35.2	2170
SERINC2	347735	1p35.2	347735
TINAGL1	64129	1p35.2	64129
HCRTR1	3061	1p35.2	3061
PEF1	553115	1p35.2	553115
COL16A1	1307	1p35.2	1307
BAI2	576	1p35.2	BAI2
MIR4254	-123	1p35.2	100423028
SPOCD1	90853	1p35.2	90853
PTP4A2	8073	1p35.2	8073
KHDRBS1	10657	1p35.1	10657
TMEM39B	55116	1p35.1	55116
MIR5585	-124	1p35.1	100847018
KPNA6	23633	1p35.1	23633
TXLNA	200081	1p35.1	200081
CCDC28B	79140	1p35.1	79140
IQCC	55721	1p35.1	55721
DCDC2B	149069	1p35.1	149069
TMEM234	56063	1p35.1	56063
EIF3I	8668	1p35.1	8668
MTMR9LP	-125	1p35.1	339483
FAM167B	84734	1p35.1	84734
LCK	3932	1p35.1	3932
HDAC1	3065	1p35.1	3065
MARCKSL1	65108	1p35.1	65108
TSSK3	81629	1p35.1	81629
BSDC1	55108	1p35.1	55108
FAM229A	100128071	1p35.1	100128071
RN7SL122P	-126	1p35.1	106480954
ZBTB8B	-127	1p35.1	728116
ZBTB8A	653121	1p35.1	653121
ZBTB8OS	-128	1p35.1	339487
RBBP4	5928	1p35.1	5928
SYNC	81493	1p35.1	81493
KIAA1522	57648	1p35.1	57648
YARS	8565	1p35.1	8565
S100PBP	64766	1p35.1	64766
FNDC5	252995	1p35.1	252995
HPCA	3208	1p35.1	3208
TMEM54	113452	1p35.1	113452
RNF19B	127544	1p35.1	127544
FKSG48	-129	1p35.1	FKSG48
AK2	204	1p35.1	204
ADC	113451	1p35.1	ADC
TRIM62	55223	1p35.1	55223
ZNF362	149076	1p35.1	149076
A3GALT2	127550	1p35.1	127550
PHC2	1912	1p35.1	1912
MIR3605	-130	1p35.1	100500853
RN7SKP16	-131	1p35.1	106480837
ZSCAN20	7579	1p35.1	7579
CSMD2	114784	1p35.1	114784
HMGB4	127540	1p35.1	127540
RNA5SP42	-132	1p35.1	100873281
C1orf94	84970	1p34.3	84970
MIR552	693137	1p34.3	693137
SMIM12	-133	1p34.3	113444
GJB5	2709	1p34.3	2709
GJB4	127534	1p34.3	127534
GJB3	2707	1p34.3	2707
GJA4	2701	1p34.3	2701
DLGAP3	58512	1p34.3	58512
SNORD112|ENSG00000252728.1	-134	1p34.3	SNORD112|ENSG00000252728.1
ZMYM6NB	100506144	1p34.3	ZMYM6NB
ZMYM6	-135	1p34.3	9204
ZMYM1	79830	1p34.3	79830
SFPQ	6421	1p34.3	6421
RN7SL136P	-136	1p34.3	RN7SL136P
ZMYM4	9202	1p34.3	9202
RN7SL503P	-137	1p34.3	106481060
SNORA62|ENSG00000201542.1	-138	1p34.3	SNORA62|ENSG00000201542.1
RNY5P1	-139	1p34.3	100379666
KIAA0319L	79932	1p34.3	79932
NCDN	23154	1p34.3	23154
TFAP2E	339488	1p34.3	339488
PSMB2	-140	1p34.3	5690
RN7SL281P	-141	1p34.3	RN7SL281P
C1orf216	127703	1p34.3	127703
CLSPN	63967	1p34.3	63967
AGO4	192670	1p34.3	192670
AGO1	26523	1p34.3	26523
AGO3	192669	1p34.3	192669
TEKT2	27285	1p34.3	27285
ADPRHL2	54936	1p34.3	54936
COL8A2	1296	1p34.3	1296
TRAPPC3	27095	1p34.3	27095
MAP7D1	55700	1p34.3	55700
RN7SL131P	-142	1p34.3	106480957
THRAP3	9967	1p34.3	9967
SH3D21	79729	1p34.3	79729
EVA1B	55194	1p34.3	55194
STK40	83931	1p34.3	83931
LSM10	84967	1p34.3	84967
OSCP1	127700	1p34.3	127700
SNORA63|ENSG00000201448.1	-143	1p34.3	SNORA63|ENSG00000201448.1
MRPS15	64960	1p34.3	64960
CSF3R	1441	1p34.3	1441
GRIK3	2899	1p34.3	2899
MIR4255	100422898	1p34.3	100422898
RNA5SP43	-144	1p34.3	100873282
ZC3H12A	80149	1p34.3	80149
MEAF6	-145	1p34.3	64769
MIR5581	-146	1p34.3	100847010
SNIP1	79753	1p34.3	79753
DNALI1	7802	1p34.3	7802
GNL2	29889	1p34.3	29889
RSPO1	284654	1p34.3	284654
C1orf109	54955	1p34.3	54955
CDCA8	55143	1p34.3	55143
EPHA10	284656	1p34.3	284656
snoU13|ENSG00000238871.1	-147	1p34.3	snoU13|ENSG00000238871.1
MANEAL	149175	1p34.3	149175
YRDC	79693	1p34.3	79693
C1orf122	127687	1p34.3	127687
MTF1	4520	1p34.3	4520
INPP5B	3633	1p34.3	3633
SNORA63|ENSG00000252448.1	-148	1p34.3	SNORA63|ENSG00000252448.1
SF3A3	10946	1p34.3	10946
FHL3	2275	1p34.3	2275
UTP11L	51118	1p34.3	UTP11L
POU3F1	5453	1p34.3	5453
MIR3659	100500801	1p34.3	100500801
RRAGC	64121	1p34.3	64121
MYCBP	-149	1p34.3	26292
GJA9	81025	1p34.3	81025
RHBDL2	54933	1p34.3	54933
AKIRIN1	79647	1p34.3	79647
NDUFS5	4725	1p34.3	4725
MACF1	23499	1p34.3	23499
RNA5SP44	-150	1p34.3	100873283
KIAA0754	643314	1p34.3	643314
BMP8A	-151	1p34.3	353500
PABPC4	8761	1p34.3	8761
SNORA55	-152	1p34.3	677834
HEYL	26508	1p34.3	26508
HPCAL4	51440	1p34.2	51440
NT5C1A	84618	1p34.2	84618
PPIE	10450	1p34.2	10450
BMP8B	-153	1p34.2	656
OXCT2	64064	1p34.2	64064
TRIT1	54802	1p34.2	54802
MYCL	4610	1p34.2	4610
MFSD2A	84879	1p34.2	84879
CAP1	10487	1p34.2	10487
PPT1	5538	1p34.2	5538
RLF	6018	1p34.2	6018
TMCO2	127391	1p34.2	127391
ZMPSTE24	10269	1p34.2	10269
COL9A2	1298	1p34.2	1298
SMAP2	64744	1p34.2	64744
ZFP69B	65243	1p34.2	65243
ZFP69	339559	1p34.2	339559
EXO5	64789	1p34.2	64789
ZNF684	127396	1p34.2	127396
RIMS3	9783	1p34.2	9783
NFYC	4802	1p34.2	4802
MIR30E	-154	1p34.2	407034
MIR30C1	-155	1p34.2	407031
KCNQ4	9132	1p34.2	9132
RN7SL326P	-156	1p34.2	106479342
CITED4	163732	1p34.2	163732
CTPS1	1503	1p34.2	1503
SLFNL1	200172	1p34.2	200172
SCMH1	22955	1p34.2	22955
FOXO6	100132074	1p34.2	100132074
RNA5SP45	-157	1p34.2	100873284
EDN2	1907	1p34.2	1907
HIVEP3	59269	1p34.2	59269
GUCA2B	2981	1p34.2	2981
GUCA2A	2980	1p34.2	2980
FOXJ3	22887	1p34.2	22887
RIMKLA	284716	1p34.2	284716
ZMYND12	84217	1p34.2	84217
PPCS	79717	1p34.2	79717
CCDC30	728621	1p34.2	728621
PPIH	10465	1p34.2	10465
YBX1	4904	1p34.2	4904
CLDN19	149461	1p34.2	149461
LEPRE1	64175	1p34.2	LEPRE1
C1orf50	79078	1p34.2	79078
CCDC23	374969	1p34.2	CCDC23
ERMAP	114625	1p34.2	114625
ZNF691	51058	1p34.2	51058
SLC2A1	6513	1p34.2	6513
FAM183A	440585	1p34.2	440585
EBNA1BP2	10969	1p34.2	10969
WDR65	149465	1p34.2	WDR65
RNA5SP46	-158	1p34.2	100873285
TMEM125	128218	1p34.2	128218
C1orf210	149466	1p34.2	149466
TIE1	7075	1p34.2	7075
MPL	4352	1p34.2	4352
CDC20	991	1p34.2	991
ELOVL1	64834	1p34.2	64834
MED8	112950	1p34.2	112950
SZT2	23334	1p34.2	23334
HYI	81888	1p34.2	81888
PTPRF	5792	1p34.2	5792
KDM4A	9682	1p34.1	9682
ST3GAL3	6487	1p34.1	6487
ARTN	9048	1p34.1	9048
IPO13	9670	1p34.1	9670
DPH2	1802	1p34.1	1802
ATP6V0B	533	1p34.1	533
B4GALT2	8704	1p34.1	8704
CCDC24	149473	1p34.1	149473
SLC6A9	6536	1p34.1	6536
KLF17	128209	1p34.1	128209
RN7SL479P	-159	1p34.1	106479398
DMAP1	55929	1p34.1	55929
