Approved symbol	Chromosome	NCBI Gene ID	Ensembl gene ID
ACSL3-AS1	2q36.1	105373904	ENSG00000234193
ACSL4	Xq23	2182	ENSG00000068366
ACSL5	10q25.2	51703	ENSG00000197142
ACSL6	5q31.1	23305	ENSG00000164398
ACSL6-AS1	5q31.1	101927693	ENSG00000223548
ACSM1	16p12.3	116285	ENSG00000166743
ACSM2A	16p12.3	123876	ENSG00000183747
ACSM2B	16p12.3	348158	ENSG00000066813
ACSM3	16p12.3	6296	ENSG00000005187
ACSM4	12p13.31	341392	ENSG00000215009
ACSM5	16p12.3	54988	ENSG00000183549
ACSM5P1	16p12.3	100421779	ENSG00000260762
ACSM6	10q23.33	142827	ENSG00000173124
ACSS1	20p11.21	84532	ENSG00000154930
ACSS2	20q11.22	55902	ENSG00000131069
ACSS3	12q21.31	79611	ENSG00000111058
ACTA1	1q42.13	58	ENSG00000143632
ACTA2	10q23.31	59	ENSG00000107796
ACTA2-AS1	10q23.31	100132116	ENSG00000180139
ACTB	7p22.1	60	ENSG00000075624
ACTBL2	5q11.2	345651	ENSG00000169067
ACTBP1	Xp11.3	643309	ENSG00000229145
ACTBP2	5q14.1	62	ENSG00000213763
ACTBP3	18q21.33	63	
ACTBP4	5q23.3	64	
ACTBP6	8q21.2	66	ENSG00000203413
ACTBP7	15q15.3	67	ENSG00000185607
ACTBP8	6q15	68	ENSG00000220267
ACTBP9	18q21.33	69	ENSG00000266920
ACTBP10	14q11.2	446207	
ACTBP11	1q41	644220	ENSG00000188460
ACTBP12	1p22.1	100462767	ENSG00000233125
ACTBP13	3p21.31	389120	ENSG00000234667
ACTBP14	10q22.1	389976	ENSG00000229001
ACTC1	15q14	70	ENSG00000159251
ACTG1	17q25.3	71	ENSG00000184009
ACTG1P1	3q23	73	ENSG00000178631
ACTG1P2	Yq11.222	74	ENSG00000229129
ACTG1P3	20p13	75	ENSG00000215388
ACTG1P4	1p21.1	648740	ENSG00000236085
ACTG1P6	1p21	78	
ACTG1P7	1p21	79	
ACTG1P8	1p21	80	
ACTG1P9	6p12.3	82	ENSG00000229349
ACTG1P10	Xp11.22	83	ENSG00000231340
ACTG1P11	Yq11.222	414754	ENSG00000229465
ACTG1P12	3p25.2	100418921	ENSG00000226642
ACTG1P13	3q12.1	100418920	ENSG00000241305
ACTG1P14	9p24.1	100418910	ENSG00000230581
ACTG1P15	15q14	100418951	ENSG00000259904
ACTG1P16	16q12.1	100418960	ENSG00000260298
ACTG1P17	15q25.2	283693	ENSG00000259315
ACTG1P18	6q16.3	100418924	ENSG00000218475
ACTG1P19	9q31.1	644160	ENSG00000237999
ACTG1P20	1p36.11	644961	ENSG00000241547
ACTG1P21	1p31.1	100131291	ENSG00000232672
ACTG1P22	2p16.1	100131953	ENSG00000271615
ACTG1P23	3q26.31	442097	ENSG00000230362
ACTG1P24	17p11.2	441783	ENSG00000226359
ACTG2	2p13.1	72	ENSG00000163017
ACTL6A	3q26.33	86	ENSG00000136518
ACTL6B	7q22.1	51412	ENSG00000077080
ACTL7A	9q31.3	10881	ENSG00000187003
ACTL7B	9q31.3	10880	ENSG00000148156
ACTL8	1p36.13	81569	ENSG00000117148
ACTL9	19p13.2	284382	ENSG00000181786
ACTL10	20q11.22	170487	ENSG00000182584
ACTN1	14q24.1	87	ENSG00000072110
ACTN1-AS1	14q24.1	161159	ENSG00000259062
ACTN2	1q43	88	ENSG00000077522
ACTN3	11q13.2	89	ENSG00000248746
ACTN4	19q13.2	81	ENSG00000130402
ACTN4P1	4q26	344978	ENSG00000213493
ACTN4P2	1p34.3	391026	ENSG00000214141
ACTP1	2q12.3	106480335	ENSG00000229890
ACTR1A	10q24.32	10121	ENSG00000138107
ACTR1AP1	2q13	100287074	ENSG00000233370
ACTR1B	2q11.2	10120	ENSG00000115073
ACTR2	2p14	10097	ENSG00000138071
ACTR3	2q14.1	10096	ENSG00000115091
ACTR3-AS1	2q14.1	101060091	
ACTR3B	7q36.1-q36.2	57180	ENSG00000133627
ACTR3BP1	Yq11.21	643050	ENSG00000270242
ACTR3BP2	2p11.1	440888	ENSG00000226481
ACTR3BP3	16p11.2	647156	ENSG00000260327
ACTR3BP4	4q24	777774	ENSG00000249283
ACTR3BP5	10p11.1	399746	ENSG00000227264
ACTR3BP6	22q11.1	644773	ENSG00000226444
ACTR3C	7q36.1	653857	ENSG00000106526
ACTR3P1	14q11.2	100288580	
ACTR3P2	Xq13.1	100129013	ENSG00000232267
ACTR3P3	3q12.2	100128020	ENSG00000242573
ACTR5	20q11.23	79913	ENSG00000101442
ACTR6	12q23.1	64431	ENSG00000075089
ACTR6P1	4q25	100421495	ENSG00000248915
ACTR8	3p21.1	93973	ENSG00000113812
ACTR10	14q23.1	55860	ENSG00000131966
ACTRT1	Xq25	139741	ENSG00000123165
ACTRT2	1p36.32	140625	ENSG00000169717
ACTRT3	3q26.2	84517	ENSG00000184378
ACVR1	2q24.1	90	ENSG00000115170
ACVR1B	12q13.13	91	ENSG00000135503
ACVR1C	2q24.1	130399	ENSG00000123612
ACVR2A	2q22.3-q23.1	92	ENSG00000121989
ACVR2B	3p22.2	93	ENSG00000114739
ACVR2B-AS1	3p22.2	100128640	ENSG00000229589
ACVRL1	12q13.13	94	ENSG00000139567
ACY1	3p21.2	95	ENSG00000243989
ACY3	11q13.2	91703	ENSG00000132744
ACYP1	14q24.3	97	ENSG00000119640
ACYP2	2p16.2	98	ENSG00000170634
ADA	20q13.12	100	ENSG00000196839
ADA2	22q11.1	51816	ENSG00000093072
ADAD1	4q27	132612	ENSG00000164113
ADAD1P1	3p22.2	100422386	
ADAD1P2	18q21.1	100422407	ENSG00000267511
ADAD2	16q24.1	161931	ENSG00000140955
ADAL	15q15.3	161823	ENSG00000168803
ADAM1A	12q24.12-q24.13	8759	ENSG00000229186
ADAM1B	12q24.13	100420505	ENSG00000226469
ADAM2	8p11.22	2515	ENSG00000104755
ADAM3A	8p11.22	1587	ENSG00000197475
ADAM3B	16q12.1	1596	ENSG00000260089
ADAM5	8p11.22	255926	ENSG00000196115
ADAM6	14q32.33	8755	ENSG00000271968
ADAM7	8p21.2	8756	ENSG00000069206
ADAM8	10q26.3	101	ENSG00000151651
ADAM9	8p11.22	8754	ENSG00000168615
ADAM10	15q21.3	102	ENSG00000137845
ADAM11	17q21.31	4185	ENSG00000073670
ADAM12	10q26.2	8038	ENSG00000148848
ADAM15	1q21.3	8751	ENSG00000143537
ADAM17	2p25.1	6868	ENSG00000151694
ADAM18	8p11.22	8749	ENSG00000168619
ADAM19	5q33.3	8728	ENSG00000135074
ADAM20	14q24.2	8748	ENSG00000134007
ADAM20P1	14q24.2	317760	ENSG00000259158
ADAM20P2	4q34.2	100533671	ENSG00000248574
ADAM20P3	4q35.2	644325	ENSG00000249162
ADAM21	14q24.2	8747	ENSG00000139985
ADAM21P1	14q24.2	145241	ENSG00000235812
ADAM22	7q21.12	53616	ENSG00000008277
ADAM23	2q33.3	8745	ENSG00000114948
ADAM24P	8p22	646479	ENSG00000214607
ADAM28	8p21.2	10863	ENSG00000042980
ADAM29	4q34.1	11086	ENSG00000168594
ADAM30	1p12	11085	ENSG00000134249
ADAM32	8p11.22	203102	ENSG00000197140
ADAM33	20p13	80332	ENSG00000149451
ADAMDEC1	8p21.2	27299	ENSG00000134028
ADAMTS1	21q21.3	9510	ENSG00000154734
ADAMTS2	5q35.3	9509	ENSG00000087116
ADAMTS3	4q13.3	9508	ENSG00000156140
ADAMTS4	1q23.3	9507	ENSG00000158859
ADAMTS5	21q21.3	11096	ENSG00000154736
ADAMTS6	5q12.3	11174	ENSG00000049192
ADAMTS7	15q25.1	11173	ENSG00000136378
ADAMTS7P1	15q25.2	390660	ENSG00000274376
ADAMTS7P3	15q24.3	400406	ENSG00000261143
ADAMTS7P4	15q25.3	642935	ENSG00000218052
ADAMTS8	11q24.3	11095	ENSG00000134917
ADAMTS9	3p14.1	56999	ENSG00000163638
ADAMTS9-AS1	3p14.1	101929335	ENSG00000241158
ADAMTS9-AS2	3p14.1	100507098	ENSG00000241684
ADAMTS10	19p13.2	81794	ENSG00000142303
ADAMTS12	5p13.3-p13.2	81792	ENSG00000151388
ADAMTS13	9q34.2	11093	ENSG00000160323
ADAMTS14	10q22.1	140766	ENSG00000138316
ADAMTS15	11q24.3	170689	ENSG00000166106
ADAMTS16	5p15.32	170690	ENSG00000145536
ADAMTS17	15q26.3	170691	ENSG00000140470
ADAMTS18	16q23.1	170692	ENSG00000140873
ADAMTS19	5q23.3	171019	ENSG00000145808
ADAMTS19-AS1	5q23.3		ENSG00000249421
ADAMTS20	12q12	80070	ENSG00000173157
ADAMTSL1	9p22.2-p22.1	92949	ENSG00000178031
ADAMTSL2	9q34.2	9719	ENSG00000197859
ADAMTSL3	15q25.2	57188	ENSG00000156218
ADAMTSL4	1q21.2	54507	ENSG00000143382
ADAMTSL4-AS1	1q21.2		ENSG00000203804
ADAMTSL4-AS2	1q21.2	100289061	ENSG00000237781
ADAMTSL5	19p13.3	339366	ENSG00000185761
ADAP1	7p22.3	11033	ENSG00000105963
ADAP2	17q11.2	55803	ENSG00000184060
ADAR	1q21.3	103	ENSG00000160710
ADARB1	21q22.3	104	ENSG00000197381
ADARB2	10p15.3	105	ENSG00000185736
ADARB2-AS1	10p15.3	642394	ENSG00000205696
ADAT1	16q23.1	23536	ENSG00000065457
ADAT2	6q24.2	134637	ENSG00000189007
ADAT3	19p13.3	113179	ENSG00000213638
ADCK1	14q24.3	57143	ENSG00000063761
ADCK2	7q34	90956	ENSG00000133597
ADCK5	8q24.3	203054	ENSG00000173137
ADCP1	6	106	
ADCY1	7p12.3	107	ENSG00000164742
ADCY2	5p15.31	108	ENSG00000078295
ADCY3	2p23.3	109	ENSG00000138031
ADCY4	14q12	196883	ENSG00000129467
ADCY5	3q21.1	111	ENSG00000173175
ADCY6	12q13.12	112	ENSG00000174233
ADCY6-DT	12q13.12	100506125	ENSG00000257660
ADCY7	16q12.1	113	ENSG00000121281
ADCY8	8q24.22	114	ENSG00000155897
ADCY9	16p13.3	115	ENSG00000162104
ADCY10	1q24.2	55811	ENSG00000143199
ADCY10P1	6p21.1	221442	ENSG00000161912
ADCYAP1	18p11.32	116	ENSG00000141433
ADCYAP1R1	7p14.3	117	ENSG00000078549
ADD1	4p16.3	118	ENSG00000087274
ADD2	2p13.3	119	ENSG00000075340
ADD3	10q25.1-q25.2	120	ENSG00000148700
ADD3-AS1	10q25.1	100505933	ENSG00000203876
ADGB	6q24.3	79747	ENSG00000118492
ADGRA1	10q26.3	84435	ENSG00000197177
ADGRA1-AS1	10q26.3		ENSG00000256925
ADGRA2	8p11.23	25960	ENSG00000020181
ADGRA3	4p15.2	166647	ENSG00000152990
ADGRB1	8q24.3	575	ENSG00000181790
ADGRB2	1p35.2	576	ENSG00000121753
ADGRB3	6q12-q13	577	ENSG00000135298
ADGRD1	12q24.33	283383	ENSG00000111452
ADGRD1-AS1	12q24.33	105755954	ENSG00000256151
ADGRD2	9q33.3	347088	ENSG00000180264
ADGRE1	19p13.3-p13.2	2015	ENSG00000174837
ADGRE2	19p13.12	30817	ENSG00000127507
ADGRE3	19p13.12	84658	ENSG00000131355
ADGRE4P	19p13.2	326342	ENSG00000268758
ADGRE5	19p13.12	976	ENSG00000123146
ADGRF1	6p12.3	266977	ENSG00000153292
ADGRF2	6p12.3	222611	ENSG00000164393
ADGRF3	2p23.3	165082	ENSG00000173567
ADGRF4	6p12.3	221393	ENSG00000153294
ADGRF5	6p12.3	221395	ENSG00000069122
ADGRF5-AS1	6p12.3	101926962	ENSG00000225730
ADGRF5P1	9q13	389740	ENSG00000227582
ADGRF5P2	9p11.1	441416	ENSG00000204818
ADGRG1	16q21	9289	ENSG00000205336
ADGRG2	Xp22.13	10149	ENSG00000173698
ADGRG3	16q21	222487	ENSG00000182885
ADGRG4	Xq26.3	139378	ENSG00000156920
ADGRG5	16q21	221188	ENSG00000159618
ADGRG6	6q24.2	57211	ENSG00000112414
ADGRG7	3q12.2	84873	ENSG00000144820
ADGRL1	19p13.12	22859	ENSG00000072071
ADGRL2	1p31.1	23266	ENSG00000117114
ADGRL3	4q13.1	23284	ENSG00000150471
ADGRL3-AS1	4q13.1	101927186	ENSG00000248692
ADGRL4	1p31.1	64123	ENSG00000162618
ADGRV1	5q14.3	84059	ENSG00000164199
ADH1A	4q23	124	ENSG00000187758
ADH1B	4q23	125	ENSG00000196616
ADH1C	4q23	126	ENSG00000248144
ADH4	4q23	127	ENSG00000198099
ADH5	4q23	128	ENSG00000197894
ADH5P2	1p31.1	343296	ENSG00000232676
ADH5P3	1q43	100131810	ENSG00000223694
ADH5P4	6q12	642443	ENSG00000233859
ADH5P5	5p14.2		ENSG00000234865
ADH6	4q23	130	ENSG00000172955
ADH7	4q23	131	ENSG00000196344
ADHFE1	8q13.1	137872	ENSG00000147576
ADI1	2p25.3	55256	ENSG00000182551
ADI1P1	20q12	100130936	ENSG00000235102
ADI1P2	8q22.3	100288971	ENSG00000250684
ADI1P3	12q13.11	100288129	ENSG00000258369
ADIG	20q11.23	149685	ENSG00000182035
ADIPOQ	3q27.3	9370	ENSG00000181092
ADIPOQ-AS1	3q27.3	100874095	ENSG00000226482
ADIPOR1	1q32.1	51094	ENSG00000159346
ADIPOR1P1	10p12.31	645220	ENSG00000232497
ADIPOR1P2	14q32.13	390503	ENSG00000258805
ADIPOR2	12p13.33	79602	ENSG00000006831
ADIRF	10q23.2	10974	ENSG00000148671
ADIRF-AS1	10q23.2	100133190	ENSG00000272734
ADK	10q22.2	132	ENSG00000156110
ADM	11p15.4	133	ENSG00000148926
ADM2	22q13.33	79924	ENSG00000128165
ADM5	19q13.33	199800	ENSG00000224420
ADNP	20q13.13	23394	ENSG00000101126
ADNP-AS1	20q13.13	101927631	ENSG00000259456
ADNP2	18q23	22850	ENSG00000101544
ADO	10q21.3	84890	ENSG00000181915
ADORA1	1q32.1	134	ENSG00000163485
ADORA2A	22q11.23	135	ENSG00000128271
ADORA2A-AS1	22q11.23	646023	ENSG00000178803
ADORA2B	17p12	136	ENSG00000170425
ADORA2BP1	1q32.2	137	ENSG00000236136
ADORA3	1p13.2	140	ENSG00000282608
ADPGK	15q24.1	83440	ENSG00000159322
ADPGK-AS1	15q24.1	100287559	ENSG00000260898
ADPRH	3q13.33	141	ENSG00000144843
ADPRHL1	13q34	113622	ENSG00000153531
ADPRM	17p13.1	56985	ENSG00000170222
ADPRS	1p34.3	54936	ENSG00000116863
ADRA1A	8p21.2	148	ENSG00000120907
ADRA1B	5q33.3	147	ENSG00000170214
ADRA1D	20p13	146	ENSG00000171873
ADRA2A	10q25.2	150	ENSG00000150594
ADRA2B	2q11.2	151	ENSG00000274286
ADRA2C	4p16.3	152	ENSG00000184160
ADRB1	10q25.3	153	ENSG00000043591
ADRB2	5q32	154	ENSG00000169252
ADRB3	8p11.23	155	ENSG00000188778
ADRM1	20q13.33	11047	ENSG00000130706
ADSL	22q13.1	158	ENSG00000239900
ADSS1	14q32.33	122622	ENSG00000185100
ADSS2	1q44	159	ENSG00000035687
ADTRP	6p24.1	84830	ENSG00000111863
AEBP1	7p13	165	ENSG00000106624
AEBP2	12p12.3	121536	ENSG00000139154
AEN	15q26.1	64782	ENSG00000181026
AFAP1	4p16.1	60312	ENSG00000196526
AFAP1-AS1	4p16.1	84740	ENSG00000272620
AFAP1L1	5q32	134265	ENSG00000157510
AFAP1L2	10q25.3	84632	ENSG00000169129
AFDN	6q27	4301	ENSG00000130396
AFDN-DT	6q27	653483	ENSG00000198221
AFF1	4q21.3-q22.1	4299	ENSG00000172493
AFF1-AS1	4q21.3	100506746	
AFF2	Xq28	2334	ENSG00000155966
AFF2-IT1	Xq28		ENSG00000223516
AFF3	2q11.2	3899	ENSG00000144218
AFF4	5q31.1	27125	ENSG00000072364
AFG1L	6q21	246269	ENSG00000135537
AFG3L1P	16q24.3	172	ENSG00000223959
AFG3L2	18p11.21	10939	ENSG00000141385
AFG3L2P1	8p11.1	347028	ENSG00000253606
AFM	4q13.3	173	ENSG00000079557
AFMID	17q25.3	125061	ENSG00000183077
AFP	4q13.3	174	ENSG00000081051
AFTPH	2p14	54812	ENSG00000119844
AGA	4q34.3	175	ENSG00000038002
AGAP1	2q37.2	116987	ENSG00000157985
AGAP1-IT1	2q37.2	100506749	ENSG00000235529
AGAP2	12q14.1	116986	ENSG00000135439
